Nome,Setor,Status,%,Predecessor,Data
MDO de perfis,Aerodinâmica,Concluído,1,Analisar critérios do regulamento (https://www.notion.so/Analisar-crit-rios-do-regulamento-e5875688d2f24978878ced955f8b1bf2?pvs=21),02/10/2024 → 02/23/2024
MDO,Aerodinâmica,Concluído,1,"Escolha do GMP (https://www.notion.so/Escolha-do-GMP-ba145fe29fb54554a2375e10b7a43d91?pvs=21), Escolha da Bateria (https://www.notion.so/Escolha-da-Bateria-22ec945cc95140f8ae31c9a86e2d4308?pvs=21), Escolha do ESC (https://www.notion.so/Escolha-do-ESC-baf7a3fa22fc4be78b962d0b8a17f0f8?pvs=21), Escolher perfil da EH (https://www.notion.so/Escolher-perfil-da-EH-471ceb6c82234e4298ed0b562a039ac5?pvs=21), MDO de perfis (https://www.notion.so/MDO-de-perfis-157df106650542a9bae2dd2cabd5c71f?pvs=21), Escolher perfil da asa (https://www.notion.so/Escolher-perfil-da-asa-808e4ff5e7c9495185b272eef7de2ed1?pvs=21)",02/24/2024 → 03/01/2024
Analisar Avião,"Aerodinâmica, Aeroelasticidade e Cargas, Desempenho, Estabilidade e Controle",Em andamento,0.3,"MDO (https://www.notion.so/MDO-28ceeecd9ef94ea5901383529322025f?pvs=21), Geometria da Asa (https://www.notion.so/Geometria-da-Asa-5831e529afae452e88bb88abc592f964?pvs=21), Geometria da EH (https://www.notion.so/Geometria-da-EH-7a8cbd76d09640deb49449edaad71e7c?pvs=21), Testar tração do motor (https://www.notion.so/Testar-tra-o-do-motor-42f533437dbf4875ac1d1035819c3af0?pvs=21)",03/02/2024 → 03/08/2024
Escolher perfil da EH,Aerodinâmica,Em andamento,0.9,Analisar critérios do regulamento (https://www.notion.so/Analisar-crit-rios-do-regulamento-e5875688d2f24978878ced955f8b1bf2?pvs=21),02/10/2024 → 02/23/2024
Simular (CFD),Aerodinâmica,Não iniciada,0,Fazer a polar de arrasto (https://www.notion.so/Fazer-a-polar-de-arrasto-bfa0a022db1f4f539d5189dc744f9a39?pvs=21),04/07/2024 → 05/07/2024
Fazer endplate,Aerodinâmica,Em andamento,0.25,,03/02/2024 → 03/02/2024
Calcular arrasto parasita,Aerodinâmica,Não iniciada,0,,03/31/2024 → 04/06/2024
Fazer a polar de arrasto,Aerodinâmica,Não iniciada,0,,04/05/2024 → 04/06/2024
Analisar decolagem (asa/eh),Desempenho,Em andamento,0,,03/05/2024 → 03/05/2024
Analisar subida,Desempenho,Não iniciada,0,Fazer a polar de arrasto (https://www.notion.so/Fazer-a-polar-de-arrasto-bfa0a022db1f4f539d5189dc744f9a39?pvs=21),04/07/2024 → 04/07/2024
Analisar cruzeiro,Desempenho,Não iniciada,0,Fazer a polar de arrasto (https://www.notion.so/Fazer-a-polar-de-arrasto-bfa0a022db1f4f539d5189dc744f9a39?pvs=21),04/07/2024 → 04/07/2024
Analisar curva,Desempenho,Não iniciada,0,Fazer a polar de arrasto (https://www.notion.so/Fazer-a-polar-de-arrasto-bfa0a022db1f4f539d5189dc744f9a39?pvs=21),04/07/2024 → 04/07/2024
Analisar descida,Desempenho,Não iniciada,0,Fazer a polar de arrasto (https://www.notion.so/Fazer-a-polar-de-arrasto-bfa0a022db1f4f539d5189dc744f9a39?pvs=21),04/07/2024 → 04/07/2024
Analisar pouso,Desempenho,Não iniciada,0,Fazer a polar de arrasto (https://www.notion.so/Fazer-a-polar-de-arrasto-bfa0a022db1f4f539d5189dc744f9a39?pvs=21),04/07/2024 → 04/07/2024
Calcular carga paga,Desempenho,Não iniciada,0,Refinar peso vazio (https://www.notion.so/Refinar-peso-vazio-007896ee150b4e6288b661560f3f187f?pvs=21),03/29/2024 → 03/29/2024
Dimensionar profundor,Estabilidade e Controle,Não iniciada,0,,03/09/2024 → 03/10/2024
Dimensionar EV,Estabilidade e Controle,Não iniciada,0,Dimensionar profundor (https://www.notion.so/Dimensionar-profundor-ff2ce8b6c2cb4dddabe801e8877b26ba?pvs=21),03/11/2024 → 03/12/2024
"Dimensionar leme ",Estabilidade e Controle,Não iniciada,0,Dimensionar EV (https://www.notion.so/Dimensionar-EV-571cbeaf6606496c8b169142f7baeded?pvs=21),03/13/2024 → 03/13/2024
Dimensionar aileron,Estabilidade e Controle,Não iniciada,0,,03/20/2024 → 03/20/2024
Analisar Dinâmica,Estabilidade e Controle,Não iniciada,0,Montar aeronave  (https://www.notion.so/Montar-aeronave-620d2ce19e46419f8e4b7092e66c35dd?pvs=21),04/03/2024 → 04/16/2024
Analisar dinâmica látero-dimensional,Estabilidade e Controle,Não iniciada,0,Montar aeronave  (https://www.notion.so/Montar-aeronave-620d2ce19e46419f8e4b7092e66c35dd?pvs=21),04/03/2024 → 04/16/2024
Calcular diagrama V-n,Aeroelasticidade e Cargas,Não iniciada,0,,03/09/2024 → 03/09/2024
Calcular cargas,Aeroelasticidade e Cargas,Não iniciada,0,Calcular diagrama V-n (https://www.notion.so/Calcular-diagrama-V-n-f599771e2a1e4d119f54674719e6aa67?pvs=21),03/10/2024 → 03/12/2024
Calcular cargas na EH,Aeroelasticidade e Cargas,Não iniciada,0,,03/09/2024 → 03/11/2024
