Nome,Setor,Status,Duração (dias),%,Predecessor,Data,Bloqueando,Seleção,Subitem,item principal
MDO de perfis,Aerodinâmica,Concluído,14,1,Analisar critérios do regulamento (https://www.notion.so/Analisar-crit-rios-do-regulamento-e5875688d2f24978878ced955f8b1bf2?pvs=21),02/10/2024 → 02/23/2024,MDO (https://www.notion.so/MDO-28ceeecd9ef94ea5901383529322025f?pvs=21),,"Escolher perfil da asa (https://www.notion.so/Escolher-perfil-da-asa-808e4ff5e7c9495185b272eef7de2ed1?pvs=21), Escolher perfil da EH (https://www.notion.so/Escolher-perfil-da-EH-471ceb6c82234e4298ed0b562a039ac5?pvs=21)",
MDO,Aerodinâmica,Concluído,7,1,"Escolha do GMP (https://www.notion.so/Escolha-do-GMP-ba145fe29fb54554a2375e10b7a43d91?pvs=21), Escolha da Bateria (https://www.notion.so/Escolha-da-Bateria-22ec945cc95140f8ae31c9a86e2d4308?pvs=21), Escolha do ESC (https://www.notion.so/Escolha-do-ESC-baf7a3fa22fc4be78b962d0b8a17f0f8?pvs=21), Escolher perfil da EH (https://www.notion.so/Escolher-perfil-da-EH-471ceb6c82234e4298ed0b562a039ac5?pvs=21), MDO de perfis (https://www.notion.so/MDO-de-perfis-157df106650542a9bae2dd2cabd5c71f?pvs=21), Escolher perfil da asa (https://www.notion.so/Escolher-perfil-da-asa-808e4ff5e7c9495185b272eef7de2ed1?pvs=21)",02/24/2024 → 03/01/2024,"Analisar Avião (https://www.notion.so/Analisar-Avi-o-b95475d778e44e73855bb65ba2294b5b?pvs=21), Analisar critérios do regulamento (https://www.notion.so/Analisar-crit-rios-do-regulamento-e5875688d2f24978878ced955f8b1bf2?pvs=21)",,"Geometria da Asa (https://www.notion.so/Geometria-da-Asa-5831e529afae452e88bb88abc592f964?pvs=21), Geometria da EH (https://www.notion.so/Geometria-da-EH-7a8cbd76d09640deb49449edaad71e7c?pvs=21)",
Analisar Avião,"Aerodinâmica, Aeroelasticidade e Cargas, Desempenho, Estabilidade e Controle",Em andamento,7,0.3,"MDO (https://www.notion.so/MDO-28ceeecd9ef94ea5901383529322025f?pvs=21), Geometria da Asa (https://www.notion.so/Geometria-da-Asa-5831e529afae452e88bb88abc592f964?pvs=21), Geometria da EH (https://www.notion.so/Geometria-da-EH-7a8cbd76d09640deb49449edaad71e7c?pvs=21), Testar tração do motor (https://www.notion.so/Testar-tra-o-do-motor-42f533437dbf4875ac1d1035819c3af0?pvs=21)",03/02/2024 → 03/08/2024,,Dúvida,"Fazer endplate (https://www.notion.so/Fazer-endplate-f36b4c6e6d5346d8b7037af70cb91cef?pvs=21), Analise Aerodin (https://www.notion.so/Analise-Aerodin-590ed4ad195245f8bf200192b7bf3b51?pvs=21), Analisar decolagem (asa/eh) (https://www.notion.so/Analisar-decolagem-asa-eh-2529ebff3d8540528877d91816dc2384?pvs=21), Analisar Estabilidade (https://www.notion.so/Analisar-Estabilidade-e445fd067f444468a0c011125ffd0061?pvs=21)",
Escolher perfil da EH,Aerodinâmica,Em andamento,14,0.9,Analisar critérios do regulamento (https://www.notion.so/Analisar-crit-rios-do-regulamento-e5875688d2f24978878ced955f8b1bf2?pvs=21),02/10/2024 → 02/23/2024,MDO (https://www.notion.so/MDO-28ceeecd9ef94ea5901383529322025f?pvs=21),,,MDO de perfis (https://www.notion.so/MDO-de-perfis-157df106650542a9bae2dd2cabd5c71f?pvs=21)
Simular (CFD),Aerodinâmica,Não iniciada,30,0,Fazer a polar de arrasto (https://www.notion.so/Fazer-a-polar-de-arrasto-bfa0a022db1f4f539d5189dc744f9a39?pvs=21),04/07/2024 → 05/07/2024,Primeira bateria de Voo (https://www.notion.so/Primeira-bateria-de-Voo-ad99e928a72d4de7b0871dfd7d75865c?pvs=21),,,
Fazer endplate,Aerodinâmica,Em andamento,1,0.25,,03/02/2024 → 03/02/2024,,,,Analisar Avião (https://www.notion.so/Analisar-Avi-o-b95475d778e44e73855bb65ba2294b5b?pvs=21)
Calcular arrasto parasita,Aerodinâmica,Não iniciada,7,0,,03/31/2024 → 04/06/2024,,Dúvida,,
Fazer a polar de arrasto,Aerodinâmica,Não iniciada,3,0,,04/05/2024 → 04/06/2024,"Simular (CFD) (https://www.notion.so/Simular-CFD-c52f3d5c54c14db39aea5c24929a72b5?pvs=21), Analisar subida (https://www.notion.so/Analisar-subida-e766951914b74010a23e40862a83592c?pvs=21), Analisar cruzeiro (https://www.notion.so/Analisar-cruzeiro-aaed71abed064e2891b85650c99a3c87?pvs=21), Analisar curva (https://www.notion.so/Analisar-curva-d18cb552e17d49c3afa1c047d0ecb8e7?pvs=21), Analisar descida (https://www.notion.so/Analisar-descida-4700d86252584948b0ea67a33abeab6f?pvs=21), Analisar pouso (https://www.notion.so/Analisar-pouso-27c9979023484902b6b9e33da5098d9a?pvs=21), Analise de desempenho da aeronave (https://www.notion.so/Analise-de-desempenho-da-aeronave-eae1054512ca48a2ac55598ca46f3eba?pvs=21)",,,
Analisar decolagem (asa/eh),Desempenho,Em andamento,1,0,,03/05/2024 → 03/05/2024,,,,Analisar Avião (https://www.notion.so/Analisar-Avi-o-b95475d778e44e73855bb65ba2294b5b?pvs=21)
Analisar subida,Desempenho,Não iniciada,1,0,Fazer a polar de arrasto (https://www.notion.so/Fazer-a-polar-de-arrasto-bfa0a022db1f4f539d5189dc744f9a39?pvs=21),04/07/2024 → 04/07/2024,,,,Analise de desempenho da aeronave (https://www.notion.so/Analise-de-desempenho-da-aeronave-eae1054512ca48a2ac55598ca46f3eba?pvs=21)
